Name,RA,DEC,zlens,zsource,R_Ein(arcsec),"maglens,i","magsource,i",Lens type,Discovery,Grade,References,unknown,Paper
000129-000241,0.3735,-0.0449,0.247,-99,0.26,0.59,-99,18,24.44,CG,V,C,SuGOHI5
000300+005337,0.75,0.8938,-99,-99,0.97,-99,-99,21.17,21.76,GG,V,C,SuGOHI5
000313+005425,0.8045,0.907,-99,-99,1.13,1.43,-99,21.18,25.77,CG,V,B,SuGOHI5
000451-010316,1.216,-1.0546,-99,-99,0.48,1.92,-99,20.58,21.13,CG,V,A,SuGOHI5
000505+011005,1.2743,1.1683,-99,-99,1.1,-99,-99,21.94,23.08,CG,V,C,SuGOHI5
000644+014123,1.6858,1.6899,-99,-99,0.36,-99,-99,19.09,-99,GG,V,C,SuGOHI5
000656-004051,1.7338,-0.6809,-99,-99,0.57,1.59,-99,19.33,27.61,CG,V,C,SuGOHI5
000814+001121,2.0587,0.1891,0.506,-99,0.52,1.26,-99,19.33,25.3,CG,V,C,SuGOHI5
000814+020120,2.0592,2.0223,0.367,-99,0.37,1.16,-99,18.37,25.39,CG,V,C,SuGOHI5
000848+001550,2.2033,0.2641,0.397,-99,0.4,0.89,-99,18.46,-99,CG,V,A,SuGOHI5
000914+001033,2.3109,0.1758,-99,-99,0.57,0.97,-99,20.16,23.89,GG,V,C,SuGOHI5
000914+014727,2.3094,1.7908,-99,-99,0.76,1.64,-99,20.38,25.91,CG,V,C,SuGOHI5
001227+002716,3.114,0.4545,-99,-99,0.74,-99,-99,20.63,23.32,GG,V,C,SuGOHI5
001454-005708,3.7254,-0.9523,0.535,-99,0.55,-99,-99,-99,-99,CG,V,B,SuGOHI5
001903+022348,4.7652,2.3967,0.267,-99,0.24,-99,-99,-99,-99,CG,V,C,SuGOHI5
002016+000445,5.0671,0.0794,0.212,-99,0.23,-99,-99,-99,-99,CG,V,C,SuGOHI5
002455+001909,6.2305,0.3192,0.451,-99,0.41,-99,-99,-99,-99,CG,V,C,SuGOHI5
003002-001028,7.5105,-0.1745,-99,-99,0.34,-99,-99,-99,-99,CG,V,C,SuGOHI5
003150-004049,7.9601,-0.6804,0.476,-99,0.49,-99,-99,-99,-99,CG,V,C,SuGOHI5
003217+010037,8.0731,1.0105,0.39,-99,0.37,-99,-99,-99,-99,CG,V,A,SuGOHI5
003341+024216,8.4214,2.7046,-99,-99,0.53,-99,-99,-99,-99,CG,V,C,SuGOHI5
003428+022522,8.6173,2.4229,-99,-99,0.32,-99,-99,-99,-99,CG,V,A,SuGOHI5 RCS2
003554+002122,8.9761,0.3561,0.254,-99,0.25,-99,-99,-99,-99,CG,V,C,SuGOHI5
010315+000456,15.8163,0.0822,0.266,-99,0.29,0.45,-99,18.14,21.32,CG,V,C,SuGOHI5 DECaLS
010455+000336,16.2307,0.0601,0.272,-99,0.29,0.44,-99,16.93,19.06,CG,V,C,SuGOHI5
010516+012621,16.317,1.4392,0.265,-99,0.24,1,-99,17.11,19.02,CG,V,C,SuGOHI5
010709+011729,16.7876,1.2914,0.422,-99,0.44,3.8,-99,18.18,25.84,CG,V,B,SuGOHI5 DECaLS
010752+021847,16.9681,2.3132,-99,-99,0.61,1.21,-99,18.87,25.23,GG,V,C,SuGOHI5
010919+015330,17.3293,1.8917,0.25,-99,0.25,1.3,-99,17.08,26.42,CG,V,C,SuGOHI5
011148-000105,17.9534,-0.018,0.254,-99,0.26,-99,-99,16.8,-99,CG,V,C,SuGOHI5
011225-002247,18.1073,-0.3797,0.466,-99,0.5,0.65,-99,19.65,20.66,CG,V,B,SuGOHI5
011247+005254,18.1975,0.8818,0.367,-99,0.37,0.55,-99,18.67,27.88,CG,V,C,SuGOHI5
011259+004719,18.2496,0.7886,-99,-99,0.34,-99,-99,18.5,-99,CG,V,C,SuGOHI5
011428+025325,18.6207,2.8903,-99,-99,0.37,-99,-99,-99,-99,CG,V,C,SuGOHI5
011926+011404,19.8624,1.2347,0.613,-99,0.66,1.34,-99,19.01,22.57,CG,V,C,SuGOHI5
012606+023500,21.5286,2.5833,0.352,-99,0.36,-99,-99,-99,-99,CG,V,C,SuGOHI5
012723+011809,21.8474,1.3026,-99,-99,0.96,-99,-99,-99,-99,CG,V,C,SuGOHI5
013247+011545,23.1965,1.2627,0.126,-99,0.12,-99,-99,-99,-99,CG,V,C,SuGOHI5
015310-051331,28.2939,-5.2254,-99,-99,0.39,1.23,-99,19.65,23.83,CG,V,C,SuGOHI5
015424-003939,28.6032,-0.661,-99,-99,0.18,-99,-99,-99,-99,GG,V,B,SuGOHI5
015441-054407,28.671423,-5.735539,-99,-99,0.33,-99,-99,18.44,-99,GG,V,C,SuGOHI6
